Date,Open,High,Low,Close,Adj Close,Volume
2023-04-18,77.4142074584961,78.6272964477539,77.30247497558594,78.58738708496094,78.24301147460938,8909832
2023-04-19,78.67517852783203,79.25778198242188,78.5474853515625,79.03431701660156,78.68798065185547,7038101
2023-04-20,79.24980163574219,80.18355560302734,79.05825805664062,79.6169204711914,79.26803588867188,8661237
2023-04-21,79.79249572753906,79.87230682373047,79.11412811279297,79.41739654541016,79.06937408447266,5112741
2023-04-24,79.4732666015625,80.42298126220703,79.4732666015625,79.92816925048828,79.57791137695312,7833505
2023-04-25,81.3647232055664,81.41261291503906,77.8531494140625,78.56344604492188,78.21917724609375,11649768
2023-04-26,78.3958511352539,78.57142639160156,76.68795013427734,76.78372192382812,76.44725036621094,8032357
2023-04-27,77.43016815185547,78.36392974853516,77.094970703125,78.26017761230469,77.917236328125,9348633
2023-04-28,77.51795959472656,79.58499908447266,77.31843566894531,78.98643493652344,78.64030456542969,6279159
2023-05-01,79.40143585205078,81.40463256835938,79.3056640625,80.75019836425781,80.39634704589844,7408237
2023-05-02,80.2952880859375,81.42857360839844,79.96009826660156,81.01356506347656,80.65856170654297,7485046
2023-05-03,81.3088607788086,82.16281127929688,80.85395050048828,81.2210693359375,80.86515808105469,5917543
2023-05-04,80.99760437011719,81.20510864257812,77.74142456054688,79.26576232910156,78.91841125488281,9055431
2023-05-05,80.27134704589844,81.21308898925781,79.60894012451172,80.0,79.6494369506836,6302841
2023-05-08,79.98403930664062,80.6943359375,79.98403930664062,80.5427017211914,80.18975067138672,4282128
2023-05-09,80.42298126220703,81.32482147216797,80.42298126220703,80.6065444946289,80.2533187866211,6520737
2023-05-10,80.9896240234375,81.1412582397461,78.57940673828125,79.44133758544922,79.09322357177734,5053224
2023-05-11,79.3296127319336,79.79249572753906,78.8667221069336,79.41739654541016,79.06937408447266,5117628
2023-05-12,79.4732666015625,79.80845642089844,77.98084259033203,78.85076141357422,78.50523376464844,4332874
2023-05-15,79.12210845947266,81.65203857421875,79.02633666992188,81.40463256835938,81.04791259765625,7973716
2023-05-16,80.79010772705078,81.58818817138672,80.51875305175781,80.71029663085938,80.35661315917969,5523851
2023-05-17,81.3008804321289,82.66560363769531,81.04549407958984,82.57781219482422,82.21595001220703,6871703
2023-05-18,82.11492156982422,83.22425842285156,81.18914794921875,83.00878143310547,82.64503479003906,5772320
2023-05-19,83.41580200195312,84.42138671875,82.87310791015625,83.20829772949219,82.84366607666016,7230687
2023-05-22,83.08060455322266,84.54907989501953,83.08060455322266,83.43974304199219,83.07410430908203,4996087
2023-05-23,82.88906860351562,83.11253356933594,80.83000946044922,81.16520690917969,80.80953979492188,5738239
2023-05-24,80.83000946044922,80.98164367675781,79.73663330078125,80.59058380126953,80.2374267578125,6275400
2023-05-25,80.92578125,81.47645568847656,80.23942565917969,81.02154541015625,80.66650390625,6737506
2023-05-26,81.0774154663086,82.96089172363281,81.05347442626953,81.99520874023438,81.63590240478516,6796523
2023-05-30,82.21867370605469,82.25857543945312,80.33519744873047,81.72386169433594,81.3657455444336,7098370
2023-05-31,80.86193084716797,81.27693176269531,79.57701873779297,81.02952575683594,80.67444610595703,13358734
2023-06-01,80.77413940429688,83.93455505371094,80.66240692138672,83.53551483154297,83.1694564819336,7797043
2023-06-02,84.19792175292969,85.16360473632812,83.4317626953125,84.43734741210938,84.06734466552734,7477278
2023-06-05,84.43734741210938,84.43734741210938,83.08060455322266,83.08060455322266,82.71653747558594,5108732
2023-06-06,83.26416778564453,84.68475341796875,83.08060455322266,84.16600036621094,83.79717254638672,7794036
2023-06-07,85.10774230957031,85.65841674804688,84.30965423583984,84.66081237792969,84.28982543945312,9121088
2023-06-08,84.46927642822266,85.57063293457031,84.30167388916016,84.65283203125,84.2818832397461,4477596
2023-06-09,84.82841491699219,85.0359115600586,83.86273193359375,84.83639526367188,84.46463775634766,4365076
2023-06-12,84.84437561035156,85.30726623535156,84.31763458251953,84.78052520751953,84.40901184082031,4677449
2023-06-13,84.62091064453125,85.51476287841797,84.44532775878906,85.18755340576172,84.81425476074219,5411582
2023-06-14,85.17158508300781,85.23543548583984,82.9688720703125,83.55945587158203,83.19329833984375,6429268
2023-06-15,83.3519515991211,84.30965423583984,82.9928207397461,84.1260986328125,83.7574462890625,8733159
2023-06-16,84.55706024169922,86.91141510009766,84.54907989501953,84.82841491699219,84.45669555664062,13731752
